index,time,type,process,f,value,error,time_seconds,time_diff_seconds
367,4222996328,invoke,7.0,write,0,,4.222996328,3.621399999964581e-05
368,4223798715,invoke,2.0,read,0,,4.223798715,0.0008023870000002375
369,4224406963,invoke,3.0,read,0,,4.224406963,0.0006082479999998114
370,4228628373,ok,5.0,write,0,,4.228628373,0.004221410000000425
371,4228751324,fail,6.0,cas,0,,4.228751324,0.00012295099999981574
372,4228838172,ok,0.0,read,0,,4.228838172,8.684799999958415e-05
373,4228929120,invoke,0.0,read,0,,4.22892912,9.094800000042369e-05
374,4232782802,ok,4.0,read,0,,4.232782802,0.003853681999999914
375,4232990316,ok,3.0,read,0,,4.232990316,0.00020751400000040832
376,4233060376,fail,8.0,cas,0,,4.233060376,7.005999999964985e-05
377,4233098098,invoke,5.0,write,0,,4.233098098,3.772200000007331e-05
378,4237628042,ok,7.0,write,0,,4.237628042,0.00452994399999973
379,4238357004,invoke,6.0,cas,0,,4.238357004,0.0007289620000001662
380,4238829270,fail,9.0,cas,0,,4.23882927,0.0004722660000000545
381,4243375556,invoke,3.0,read,0,,4.243375556,0.004546286000000066
382,4249627865,ok,2.0,read,0,,4.249627865,0.006252308999999734
383,4250405583,ok,0.0,read,0,,4.250405583,0.0007777180000001493
384,4250515738,invoke,0.0,read,0,,4.250515738,0.00011015499999977862
385,4250922664,ok,5.0,write,0,,4.250922664,0.0004069260000001407
386,4250949510,invoke,9.0,write,0,,4.25094951,2.6845999999913772e-05
387,4255022739,ok,1.0,read,0,,4.255022739,0.004073229000000289
388,4255259351,fail,6.0,cas,0,,4.255259351,0.00023661200000013594
389,4255533030,invoke,1.0,read,0,,4.25553303,0.000273678999999305
390,4256236085,invoke,2.0,read,0,,4.256236085,0.0007030550000006741
391,4262488539,ok,3.0,read,0,,4.262488539,0.006252453999999297
392,4262632994,ok,9.0,write,0,,4.262632994,0.0001444550000000433
393,4262689302,ok,0.0,read,0,,4.262689302,5.6308000000449e-05
394,4262726710,ok,1.0,read,0,,4.26272671,3.7407999999850006e-05
395,4262750449,invoke,1.0,read,0,,4.262750449,2.373900000041118e-05
396,4264184947,invoke,5.0,cas,0,,4.264184947,0.0014344980000000618
397,4264743404,invoke,6.0,write,1,,4.264743404,0.0005584569999994571
398,4267109328,invoke,7.0,cas,1,,4.267109328,0.0023659240000002413
399,4267776753,invoke,0.0,read,1,,4.267776753,0.0006674249999996107
400,4273181417,ok,2.0,read,0,,4.273181417,0.005404664000000281
401,4273344207,invoke,2.0,read,1,,4.273344207,0.00016279000000007926
402,4278353546,ok,0.0,read,1,,4.278353546,0.0050093389999998905
